Rögzítve: 2021-12-15 22:23:10:522, Üzenet: Hiba a fájl írásakor (reservations.txt)
Rögzítve: 2021-12-15 22:24:48:103, Üzenet: A fájl nem található (reservations.txt)
Rögzítve: 2021-12-15 22:25:20:523, Üzenet: Sikertelen bejelentkezés...
Rögzítve: 2021-12-15 22:26:21:409, Üzenet: Sikertelen bejelentkezés...
Rögzítve: 2021-12-15 22:26:51:803, Üzenet: Sikertelen bejelentkezés...
Rögzítve: 2021-12-15 22:27:14:884, Üzenet: Sikertelen bejelentkezés...
Rögzítve: 2021-12-15 22:27:50:404, Üzenet: A fájl nem található (reservations.txt)
Rögzítve: 2021-12-15 22:58:48:168, Üzenet: Sikertelen bejelentkezés...
Rögzítve: 2021-12-16 00:17:00:278, Üzenet: Sikertelen bejelentkezés...
Rögzítve: 2021-12-16 00:27:23:285, Üzenet: Sikertelen bejelentkezés...
Rögzítve: 2021-12-16 00:28:42:308, Üzenet: Sikertelen bejelentkezés...
Rögzítve: 2021-12-16 00:29:52:601, Üzenet: Sikertelen bejelentkezés...
Rögzítve: 2021-12-16 00:30:57:835, Üzenet: Érvénytelen menüpont megadása
Rögzítve: 2021-12-16 00:38:55:330, Üzenet: Sikertelen bejelentkezés...
Rögzítve: 2021-12-16 00:39:11:185, Üzenet: Érvénytelen menüpont megadása
