Rögzítve: 2021-12-15 22:23:10:522, Üzenet: Hiba a fájl írásakor (reservations.txt)
Rögzítve: 2021-12-15 22:24:48:103, Üzenet: A fájl nem található (reservations.txt)
Rögzítve: 2021-12-15 22:25:20:523, Üzenet: Sikertelen bejelentkezés...
Rögzítve: 2021-12-15 22:26:21:409, Üzenet: Sikertelen bejelentkezés...
Rögzítve: 2021-12-15 22:26:51:803, Üzenet: Sikertelen bejelentkezés...
Rögzítve: 2021-12-15 22:27:14:884, Üzenet: Sikertelen bejelentkezés...
Rögzítve: 2021-12-15 22:27:50:404, Üzenet: A fájl nem található (reservations.txt)
Rögzítve: 2021-12-15 23:29:12:523, Üzenet: Sikertelen bejelentkezés...
Rögzítve: 2021-12-15 23:45:37:593, Üzenet: Érvénytelen menüpont megadása
Rögzítve: 2021-12-15 23:48:22:378, Üzenet: Érvénytelen menüpont megadása
Rögzítve: 2021-12-15 23:49:11:229, Üzenet: Érvénytelen menüpont megadása
Rögzítve: 2021-12-15 23:49:54:511, Üzenet: Érvénytelen menüpont megadása
Rögzítve: 2021-12-15 23:50:27:230, Üzenet: Érvénytelen menüpont megadása
Rögzítve: 2021-12-15 23:50:46:148, Üzenet: Érvénytelen menüpont megadása
Rögzítve: 2021-12-15 23:51:08:825, Üzenet: Érvénytelen menüpont megadása
Rögzítve: 2021-12-15 23:52:03:600, Üzenet: Érvénytelen menüpont megadása
Rögzítve: 2021-12-15 23:52:19:477, Üzenet: Érvénytelen menüpont megadása
Rögzítve: 2021-12-15 23:52:42:285, Üzenet: Érvénytelen menüpont megadása
Rögzítve: 2021-12-15 23:53:17:047, Üzenet: Érvénytelen menüpont megadása
Rögzítve: 2021-12-15 23:55:35:509, Üzenet: Érvénytelen menüpont megadása
Rögzítve: 2021-12-16 00:03:18:595, Üzenet: Érvénytelen menüpont megadása
Rögzítve: 2021-12-16 00:03:56:963, Üzenet: Érvénytelen menüpont megadása
Rögzítve: 2021-12-16 00:04:53:071, Üzenet: Érvénytelen menüpont megadása
Rögzítve: 2021-12-16 00:05:52:414, Üzenet: Érvénytelen menüpont megadása
Rögzítve: 2021-12-16 00:19:42:607, Üzenet: Sikertelen bejelentkezés...
Rögzítve: 2021-12-16 00:19:59:922, Üzenet: Sikertelen bejelentkezés...
Rögzítve: 2021-12-16 00:20:47:448, Üzenet: Sikertelen bejelentkezés...
Rögzítve: 2021-12-16 00:21:16:028, Üzenet: Sikertelen bejelentkezés...
Rögzítve: 2021-12-16 00:22:35:004, Üzenet: Sikertelen bejelentkezés...
Rögzítve: 2021-12-16 00:23:02:662, Üzenet: Sikertelen bejelentkezés...
Rögzítve: 2021-12-16 00:23:18:866, Üzenet: Érvénytelen menüpont megadása
Rögzítve: 2021-12-16 00:23:59:277, Üzenet: Sikertelen bejelentkezés...
Rögzítve: 2021-12-16 00:24:57:984, Üzenet: Sikertelen bejelentkezés...
Rögzítve: 2021-12-16 00:25:16:949, Üzenet: Sikertelen bejelentkezés...
Rögzítve: 2021-12-16 00:25:48:862, Üzenet: Sikertelen bejelentkezés...
Rögzítve: 2021-12-16 00:26:47:093, Üzenet: Sikertelen bejelentkezés...
Rögzítve: 2021-12-16 00:26:56:460, Üzenet: Sikertelen bejelentkezés...
Rögzítve: 2021-12-16 00:32:17:895, Üzenet: Érvénytelen menüpont megadása
Rögzítve: 2021-12-16 00:34:22:486, Üzenet: Érvénytelen menüpont megadása
Rögzítve: 2021-12-16 00:35:30:132, Üzenet: Érvénytelen menüpont megadása
Rögzítve: 2021-12-16 00:35:54:317, Üzenet: Érvénytelen menüpont megadása
